datetime,cloud_cover,month
2025-06-26 14:43:09.921000+00:00,99.85,6
2025-06-26 14:31:12.902000+00:00,99.94,6
2025-06-26 15:07:03.240000+00:00,99.99,6
2025-06-26 14:54:56.659000+00:00,99.99,6
2025-06-26 14:55:41.245000+00:00,99.99,6
2025-06-26 14:55:41.310000+00:00,99.98,6
2025-06-26 14:55:08.559000+00:00,99.99,6
2025-06-26 14:54:00.717000+00:00,99.98,6
2025-06-26 14:55:51.767000+00:00,99.97,6
2025-06-26 14:55:02.918000+00:00,99.63,6
2025-06-26 14:55:01.118000+00:00,99.83,6
2025-06-26 14:54:59.326000+00:00,99.99,6
2025-06-26 14:55:10.256000+00:00,99.91,6
2025-06-26 14:54:49.366000+00:00,99.73,6
2025-06-26 14:30:50.192000+00:00,91.27,6
2025-06-26 14:54:05.018000+00:00,91.54,6
2025-06-26 15:07:08.280000+00:00,80.69,6
2025-06-26 14:55:05.813000+00:00,43.46,6
2025-06-26 14:56:50.901000+00:00,53.46,6
2025-06-24 16:07:15.252000+00:00,91.03,6
2025-06-24 16:25:19.393000+00:00,99.34,6
2025-06-24 16:23:30.874000+00:00,99.87,6
2025-06-24 16:18:28.707000+00:00,99.93,6
2025-06-24 16:23:09.713000+00:00,99.91,6
2025-06-24 16:07:08.156000+00:00,99.98,6
2025-06-24 16:23:19.059000+00:00,99.93,6
2025-06-24 16:19:10.093000+00:00,99.89,6
2025-06-24 16:07:16.869000+00:00,99.96,6
2025-06-24 16:06:07.844000+00:00,98.42,6
2025-06-24 16:21:30.673000+00:00,99.89,6
2025-06-24 16:23:02.034000+00:00,99.87,6
2025-06-24 16:06:34.548000+00:00,99.96,6
2025-06-24 16:07:38.272000+00:00,99.49,6
2025-06-24 16:08:29.652000+00:00,99.97,6
2025-06-24 16:19:03.617000+00:00,99.97,6
2025-06-24 16:07:52.099000+00:00,99.96,6
2025-06-24 16:18:14.631000+00:00,99.89,6
2025-06-24 16:05:50.934000+00:00,99.82,6
2025-06-24 16:20:59.832000+00:00,99.9,6
2025-06-24 16:21:29.222000+00:00,99.94,6
2025-06-24 16:06:47.363000+00:00,99.95,6
2025-06-24 16:07:11.230000+00:00,99.77,6
2025-06-24 16:07:27.304000+00:00,99.97,6
2025-06-24 16:22:46.523000+00:00,99.96,6
2025-06-24 16:09:36.404000+00:00,99.97,6
2025-06-24 16:19:56.889000+00:00,99.97,6
2025-06-24 16:08:05.345000+00:00,99.96,6
2025-06-24 16:18:33.975000+00:00,98.86,6
2025-06-24 16:20:38.026000+00:00,99.34,6
2025-06-24 16:14:16.237000+00:00,99.99,6
2025-06-24 16:18:34.273000+00:00,99.98,6
2025-06-24 16:07:25.330000+00:00,99.95,6
2025-06-24 16:07:56.892000+00:00,99.99,6
2025-06-23 16:26:12.381000+00:00,60.02,6
2025-06-23 16:26:25.701000+00:00,44.02,6
2025-06-23 16:28:11.711000+00:00,77.17,6
2025-06-23 16:29:28.434000+00:00,89.05,6
2025-06-23 16:26:09.306000+00:00,30.92,6
2025-06-23 16:25:43.704000+00:00,51.77,6
2025-06-23 16:29:11.085000+00:00,77.17,6
2025-06-23 16:27:27.351000+00:00,98.91,6
2025-06-23 16:25:15.391000+00:00,39.88,6
2025-06-23 16:30:33.879000+00:00,36.99,6
2025-06-23 16:36:22.164000+00:00,62.88,6
2025-06-23 16:27:13.108000+00:00,23.96,6
2025-06-23 16:30:36.611000+00:00,21.67,6
2025-06-23 16:26:10.104000+00:00,72.18,6
2025-06-23 16:25:56.293000+00:00,4.41,6
2025-06-23 16:25:49.298000+00:00,3.24,6
2025-06-23 16:28:15.291000+00:00,29.12,6
2025-06-23 16:24:42.988000+00:00,25.94,6
2025-06-23 16:27:10.558000+00:00,21.56,6
2025-06-23 16:25:58.200000+00:00,25.07,6
2025-06-23 16:26:26.214000+00:00,87.51,6
2025-06-23 16:26:50.825000+00:00,86.27,6
2025-06-23 16:25:29.766000+00:00,61.12,6
2025-06-23 16:27:15.331000+00:00,68.85,6
2025-06-23 16:27:28.877000+00:00,85.02,6
2025-06-22 14:26:49.850000+00:00,48.79,6
2025-06-22 14:00:06.704000+00:00,47.92,6
2025-06-22 14:26:43.081000+00:00,56.94,6
2025-06-22 14:01:37.111000+00:00,50.48,6
2025-06-22 14:15:33.585000+00:00,77.08,6
2025-06-22 14:13:57.169000+00:00,38.43,6
2025-06-22 14:13:49.984000+00:00,97.18,6
2025-06-22 14:16:40.082000+00:00,75.45,6
2025-06-22 14:25:21.652000+00:00,66.18,6
2025-06-22 14:23:47.008000+00:00,44.38,6
2025-06-22 14:02:36.929000+00:00,33.39,6
2025-06-22 14:16:00.661000+00:00,61.07,6
2025-06-22 14:24:31.788000+00:00,43.86,6
2025-06-22 14:00:05.505000+00:00,40.39,6
2025-06-22 14:26:49.595000+00:00,36.35,6
2025-06-22 14:14:25.621000+00:00,71.6,6
2025-06-22 14:12:38.826000+00:00,30.49,6
2025-06-22 14:16:33.559000+00:00,58.17,6
2025-06-22 14:12:46.443000+00:00,38.87,6
2025-06-22 14:26:36.992000+00:00,6.48,6
2025-06-21 16:17:08.945000+00:00,55.4,6
2025-06-21 16:20:41.399000+00:00,29.44,6
2025-06-21 16:20:19.343000+00:00,18.04,6
2025-06-21 16:18:55.677000+00:00,38.54,6
2025-06-21 16:17:42.548000+00:00,59.77,6
2025-06-21 16:20:21.933000+00:00,54.97,6
2025-06-21 16:21:28.275000+00:00,48.24,6
2025-06-21 16:19:41.712000+00:00,59.29,6
2025-06-21 16:18:14.611000+00:00,63.42,6
2025-06-21 16:16:51.094000+00:00,65.86,6
2025-06-21 16:18:32.375000+00:00,72.81,6
2025-06-21 16:18:02.179000+00:00,22.31,6
2025-06-21 16:17:51.831000+00:00,40.05,6
2025-06-21 16:22:10.587000+00:00,30.14,6
2025-06-21 16:17:52.150000+00:00,49.59,6
2025-06-21 16:19:40.773000+00:00,58.2,6
2025-06-21 16:18:41.053000+00:00,47.83,6
2025-06-21 16:17:45.514000+00:00,98.77,6
2025-06-21 16:18:29.587000+00:00,99.67,6
2025-06-21 16:18:14.127000+00:00,93.16,6
2025-06-21 16:17:05.518000+00:00,99.97,6
2025-06-21 16:18:12.231000+00:00,95.22,6
2025-06-21 16:19:48.600000+00:00,91.41,6
2025-06-21 16:19:53.853000+00:00,91.6,6
2025-06-21 16:21:14.712000+00:00,98.59,6
2025-06-19 17:55:35.690000+00:00,81.4,6
2025-06-19 17:54:41.411000+00:00,90.45,6
2025-06-19 17:53:33.916000+00:00,40.29,6
2025-06-19 18:01:30.745000+00:00,40.02,6
2025-06-19 17:54:22.568000+00:00,37.83,6
2025-06-19 18:02:14.771000+00:00,51.08,6
2025-06-19 18:02:11.598000+00:00,71.3,6
2025-06-19 17:52:59.644000+00:00,75.43,6
2025-06-19 17:53:43.412000+00:00,59.47,6
2025-06-19 17:55:02.745000+00:00,24.1,6
2025-06-19 17:54:29.319000+00:00,3.15,6
2025-06-19 17:52:49.966000+00:00,3.44,6
2025-06-19 17:53:38.993000+00:00,0.43,6
2025-06-19 17:55:34.278000+00:00,23.46,6
2025-06-19 17:55:38.896000+00:00,4.01,6
2025-06-19 17:55:04.230000+00:00,0.09,6
2025-06-19 18:03:48.994000+00:00,7.02,6
2025-06-19 17:56:37.181000+00:00,14.99,6
2025-06-19 17:52:40.078000+00:00,22.29,6
2025-06-19 17:52:58.787000+00:00,17.29,6
2025-06-19 14:54:43.104000+00:00,98.22,6
2025-06-19 15:07:03.010000+00:00,67.69,6
2025-06-19 15:06:22.273000+00:00,40.85,6
2025-06-19 15:04:53.650000+00:00,66.43,6
2025-06-19 15:04:55.975000+00:00,45.86,6
2025-06-19 14:56:30.978000+00:00,99.71,6
2025-06-19 15:05:39.410000+00:00,60.39,6
2025-06-19 15:05:17.090000+00:00,86.75,6
2025-06-19 14:55:31.282000+00:00,85.16,6
2025-06-19 14:55:02.072000+00:00,66.67,6
2025-06-19 15:08:04.667000+00:00,51.06,6
2025-06-19 15:11:17.033000+00:00,26.46,6
2025-06-19 14:56:22.871000+00:00,17.31,6
2025-06-19 14:57:27.044000+00:00,88.68,6
2025-06-19 15:26:49.816000+00:00,40.65,6
2025-06-19 15:07:05.308000+00:00,41.38,6
2025-06-19 14:54:56.332000+00:00,38.76,6
2025-06-19 14:56:20.703000+00:00,14.01,6
2025-06-19 14:53:11.551000+00:00,28.2,6
2025-06-19 15:07:03.565000+00:00,6.85,6
2025-06-19 15:06:11.687000+00:00,14.33,6
2025-06-19 15:04:53.349000+00:00,39.33,6
2025-06-19 14:55:27.486000+00:00,0.27,6
2025-06-19 14:54:43.096000+00:00,46.76,6
2025-06-19 15:05:55.816000+00:00,41.01,6
2025-06-19 15:05:37.385000+00:00,74.73,6
2025-06-19 15:05:47.886000+00:00,65.44,6
2025-06-19 14:55:01.957000+00:00,76.78,6
2025-06-19 15:26:44.614000+00:00,23.09,6
2025-06-19 15:06:21.078000+00:00,46.75,6
2025-06-19 15:06:09.776000+00:00,62.43,6
2025-06-19 15:05:34.163000+00:00,60.66,6
2025-06-19 15:06:03.381000+00:00,4.79,6
2025-06-19 15:11:37.175000+00:00,11.28,6
2025-06-19 15:07:17.711000+00:00,7.5,6
2025-06-19 15:08:23.888000+00:00,9.98,6
2025-06-17 16:35:28.704000+00:00,61.13,6
2025-06-17 16:27:27.892000+00:00,99.95,6
2025-06-17 16:34:51.982000+00:00,90.67,6
2025-06-17 16:29:20.409000+00:00,99.96,6
2025-06-17 16:35:17.793000+00:00,88.05,6
2025-06-17 16:30:53.789000+00:00,99.95,6
2025-06-17 16:35:17.532000+00:00,84.64,6
2025-06-17 16:30:07.491000+00:00,98.38,6
2025-06-17 16:35:28.408000+00:00,70.44,6
2025-06-17 16:35:04.054000+00:00,99.19,6
2025-06-17 16:28:06.578000+00:00,94.38,6
2025-06-17 16:31:04.409000+00:00,34.45,6
2025-06-17 16:30:56.405000+00:00,97.68,6
2025-06-17 16:28:44.589000+00:00,96.17,6
2025-06-17 16:28:16.106000+00:00,38.67,6
2025-06-17 16:29:00.297000+00:00,92.65,6
2025-06-17 16:27:32.031000+00:00,99.82,6
2025-06-17 16:31:09.806000+00:00,66.65,6
2025-06-17 16:31:49.254000+00:00,84.56,6
2025-06-17 16:29:38.684000+00:00,99.18,6
2025-06-16 15:05:38.208000+00:00,46.63,6
2025-06-16 15:20:18.622000+00:00,75.56,6
2025-06-16 15:26:57.759000+00:00,36.72,6
2025-06-16 15:20:28.123000+00:00,38.05,6
2025-06-16 15:20:28.432000+00:00,60.07,6
2025-06-16 15:05:34.803000+00:00,16.61,6
2025-06-16 15:22:46.260000+00:00,48.8,6
2025-06-16 15:20:57.864000+00:00,16.52,6
2025-06-16 15:05:41.389000+00:00,18.08,6
2025-06-16 15:19:44.915000+00:00,56.53,6
2025-06-16 15:19:16.986000+00:00,44.73,6
2025-06-16 15:20:29.656000+00:00,46.44,6
2025-06-16 15:19:36.083000+00:00,97.5,6
2025-06-16 15:05:45.539000+00:00,97.12,6
2025-06-16 15:24:27.656000+00:00,92.17,6
2025-06-16 15:19:40.126000+00:00,98.72,6
2025-06-16 15:21:01.835000+00:00,91.85,6
2025-06-16 15:21:40.583000+00:00,99.51,6
2025-06-16 15:05:36.008000+00:00,85.85,6
2025-06-16 15:20:20.005000+00:00,99.79,6
2025-06-16 15:23:08.138000+00:00,97.26,6
2025-06-16 15:22:35.930000+00:00,99.94,6
2025-06-16 15:05:34.201000+00:00,99.99,6
2025-06-16 15:06:17.052000+00:00,99.94,6
2025-06-16 15:21:20.715000+00:00,99.89,6
2025-06-16 15:22:46.944000+00:00,91.92,6
2025-06-16 15:18:43.752000+00:00,99.06,6
2025-06-16 15:19:54.627000+00:00,99.98,6
2025-06-16 15:19:36.051000+00:00,99.95,6
2025-06-16 15:19:55.451000+00:00,97.98,6
2025-06-16 15:23:07.238000+00:00,99.77,6
2025-06-16 15:20:00.486000+00:00,98.24,6
2025-06-16 15:19:39.435000+00:00,99.95,6
2025-06-16 14:57:06.069000+00:00,9.53,6
2025-06-16 14:58:07.175000+00:00,7.25,6
2025-06-16 14:57:45.333000+00:00,7.63,6
2025-06-16 14:56:54.494000+00:00,73.13,6
2025-06-16 14:58:23.800000+00:00,24.79,6
2025-06-16 15:07:22.962000+00:00,49.48,6
2025-06-16 14:57:08.809000+00:00,78.89,6
2025-06-16 15:07:14.457000+00:00,98.29,6
2025-06-16 14:59:30.796000+00:00,65.29,6
2025-06-16 15:06:16.604000+00:00,99.93,6
2025-06-16 15:07:01.157000+00:00,99.92,6
2025-06-16 14:58:10.320000+00:00,80.19,6
2025-06-16 15:07:04.417000+00:00,97.04,6
2025-06-16 14:58:56.357000+00:00,99.83,6
2025-06-16 14:56:51.801000+00:00,88.12,6
2025-06-16 15:06:26.278000+00:00,99.97,6
2025-06-16 14:58:12.435000+00:00,99.98,6
2025-06-16 15:07:13.177000+00:00,99.03,6
2025-06-16 14:55:59.029000+00:00,99.89,6
2025-06-16 14:56:55.799000+00:00,99.88,6
2025-06-16 15:06:28.909000+00:00,99.99,6
2025-06-16 14:58:40.620000+00:00,99.81,6
2025-06-16 14:57:26.305000+00:00,99.98,6
2025-06-14 17:01:54.339000+00:00,99.98,6
2025-06-14 17:00:44.122000+00:00,99.61,6
2025-06-14 17:00:54.670000+00:00,99.91,6
2025-06-14 17:02:56.624000+00:00,99.86,6
2025-06-14 17:08:09.205000+00:00,99.93,6
2025-06-14 17:01:42.521000+00:00,99.89,6
2025-06-14 17:03:23.079000+00:00,99.96,6
2025-06-14 17:03:09.027000+00:00,99.97,6
2025-06-14 17:02:57.549000+00:00,99.99,6
2025-06-14 16:59:25.493000+00:00,99.87,6
2025-06-14 17:02:43.415000+00:00,99.95,6
2025-06-14 17:03:35.868000+00:00,99.94,6
2025-06-14 17:03:52.036000+00:00,99.96,6
2025-06-14 17:00:02.525000+00:00,99.98,6
2025-06-14 17:02:29.933000+00:00,99.89,6
2025-06-14 17:00:47.731000+00:00,99.92,6
2025-06-14 17:02:40.112000+00:00,99.92,6
2025-06-14 17:03:20.493000+00:00,99.96,6
2025-06-14 17:00:39.518000+00:00,99.97,6
2025-06-14 16:59:06.433000+00:00,99.88,6
2025-06-14 17:00:52.683000+00:00,99.91,6
2025-06-14 17:00:52.331000+00:00,99.95,6
2025-06-14 17:03:40.083000+00:00,99.94,6
2025-06-14 17:01:57.522000+00:00,99.98,6
2025-06-14 17:00:38.210000+00:00,99.98,6
2025-06-14 17:02:28.711000+00:00,99.91,6
2025-06-14 17:01:20.228000+00:00,99.96,6
2025-06-14 17:02:55.731000+00:00,99.99,6
2025-06-14 17:01:06.483000+00:00,99.98,6
2025-06-14 17:02:07.398000+00:00,99.95,6
2025-06-14 17:00:13.440000+00:00,99.97,6
2025-06-14 17:06:18.181000+00:00,99.98,6
2025-06-14 17:07:01.524000+00:00,99.99,6
2025-06-13 15:09:45.592000+00:00,11.32,6
2025-06-13 15:10:38.251000+00:00,24.74,6
2025-06-13 15:08:26.941000+00:00,21.63,6
2025-06-13 15:09:03.128000+00:00,13.34,6
2025-06-13 15:08:14.600000+00:00,72.05,6
2025-06-13 15:09:30.866000+00:00,74.42,6
2025-06-13 15:07:54.523000+00:00,64.46,6
2025-06-13 15:08:59.946000+00:00,18.25,6
2025-06-13 15:08:00.202000+00:00,39.62,6
2025-06-13 15:08:03.568000+00:00,68.63,6
2025-06-13 15:09:33.025000+00:00,54.37,6
2025-06-13 15:08:58.421000+00:00,52.56,6
2025-06-13 15:07:50.584000+00:00,75.28,6
2025-06-13 15:11:50.812000+00:00,92.7,6
2025-06-13 15:06:52.288000+00:00,83.06,6
2025-06-13 15:09:09.167000+00:00,64.45,6
2025-06-13 15:11:35.743000+00:00,88.8,6
2025-06-13 15:07:18.747000+00:00,47.09,6
2025-06-13 15:10:39.656000+00:00,52.48,6
2025-06-13 15:12:52.238000+00:00,83.18,6
